"Office Location","Activity Type","Site Name","Pollution Level Detected"
Melbourne,"Soil Quality Test","Blackbutt Nature Reserve",179.89
Brisbane,"Soil Quality Test","Braye Park",179.83
Newcastle,"Air Quality Check","Croudace Bay Park",179.79
"Gold Coast","Water Quality Test","Speers Point Park",179.76
Hobart,"Noise Level Measurement","Richley Reserve",179.71
Adelaide,"Water Quality Test","Mount Sugarloaf",179.65
Hobart,"Air Quality Check","Blackbutt Nature Reserve",179.63
Adelaide,"Soil Quality Test","Hunter Wetlands Centre",179.55
Hobart,"Air Quality Check","Croudace Bay Park",179.54
Adelaide,"Water Quality Test","Merewether Beach",179.5
Adelaide,"Water Quality Test","Speers Point Park",179.49
Brisbane,"Water Quality Test","Braye Park",179.29
Hobart,"Noise Level Measurement","Newcastle Beach",179.28
Canberra,"Soil Quality Test","Nobbys Beach",179.27
Darwin,"Air Quality Check","Hunter Wetlands Centre",179.21
Canberra,"Water Quality Test","Richley Reserve",179.21
Adelaide,"Soil Quality Test","Toronto Foreshore",179.19
Darwin,"Air Quality Check","Braye Park",179.15
"Gold Coast","Noise Level Measurement","Hunter Wetlands Centre",179.15
Brisbane,"Noise Level Measurement","King Edward Park",179.14
Brisbane,"Air Quality Check","Speers Point Park",179.13
Darwin,"Soil Quality Test","Toronto Foreshore",179.12
Canberra,"Noise Level Measurement","Jesmond Park",179.11
Sydney,"Air Quality Check","Lambton Park",179.06
Perth,"Noise Level Measurement","Warners Bay Foreshore",179
Brisbane,"Air Quality Check","Braye Park",178.92
Darwin,"Air Quality Check","King Edward Park",178.92
Newcastle,"Air Quality Check","Richley Reserve",178.92
Hobart,"Soil Quality Test","Nobbys Beach",178.89
Canberra,"Air Quality Check","Glenrock State Conservation Area",178.88
Newcastle,"Air Quality Check","Glenrock State Conservation Area",178.85
Melbourne,"Water Quality Test","Waratah Park",178.84
Darwin,"Soil Quality Test","Mount Sugarloaf",178.83
Perth,"Soil Quality Test","Richley Reserve",178.83
Hobart,"Water Quality Test","Charlestown Park",178.79
Newcastle,"Air Quality Check","Richley Reserve",178.77
Hobart,"Soil Quality Test","Heaton State Forest",178.68
"Gold Coast","Water Quality Test","Belmont Wetlands State Park",178.6
"Gold Coast","Soil Quality Test","Braye Park",178.58
"Gold Coast","Noise Level Measurement","Speers Point Park",178.57
Darwin,"Water Quality Test","King Edward Park",178.55
Melbourne,"Air Quality Check","Nobbys Beach",178.53
Perth,"Air Quality Check","Newcastle Beach",178.47
Darwin,"Air Quality Check","Mount Sugarloaf",178.38
Canberra,"Air Quality Check","Waratah Park",178.37
Adelaide,"Air Quality Check","Speers Point Park",178.37
Newcastle,"Water Quality Test","Blackbutt Nature Reserve",178.32
Brisbane,"Water Quality Test","King Edward Park",178.28
Adelaide,"Water Quality Test","Belmont Wetlands State Park",178.24
"Gold Coast","Soil Quality Test","King Edward Park",178.22
Hobart,"Water Quality Test","Charlestown Park",178.2
Perth,"Noise Level Measurement","Richley Reserve",178.18
Perth,"Air Quality Check","Charlestown Park",178.13
Sydney,"Soil Quality Test","Merewether Beach",178.01
Brisbane,"Soil Quality Test","Glenrock State Conservation Area",177.96
Canberra,"Air Quality Check","Charlestown Park",177.88
Darwin,"Noise Level Measurement","Awaba State Forest",177.83
Sydney,"Water Quality Test","Lambton Park",177.81
"Gold Coast","Air Quality Check","Speers Point Park",177.73
Adelaide,"Air Quality Check","Merewether Beach",177.73
Melbourne,"Air Quality Check","Jesmond Park",177.67
Sydney,"Water Quality Test","Nobbys Beach",177.66
Brisbane,"Water Quality Test","Redhead Beach",177.65
Hobart,"Water Quality Test","Heaton State Forest",177.63
Melbourne,"Air Quality Check","Charlestown Park",177.55
Sydney,"Air Quality Check","Speers Point Park",177.54
"Gold Coast","Water Quality Test","Mount Sugarloaf",177.51
Perth,"Noise Level Measurement","Nobbys Beach",177.5
Melbourne,"Noise Level Measurement","Charlestown Park",177.49
Brisbane,"Air Quality Check","Redhead Beach",177.37
Hobart,"Noise Level Measurement","Belmont Wetlands State Park",177.36
Canberra,"Noise Level Measurement","King Edward Park",177.35
Sydney,"Air Quality Check","Belmont Wetlands State Park",177.34
Canberra,"Noise Level Measurement","Warners Bay Foreshore",177.29
Sydney,"Water Quality Test","Mount Sugarloaf",177.29
"Gold Coast","Noise Level Measurement","Lambton Park",177.29
Sydney,"Noise Level Measurement","Redhead Beach",177.27
Darwin,"Air Quality Check","Blackbutt Nature Reserve",177.25
Darwin,"Soil Quality Test","Mount Sugarloaf",177.23
"Gold Coast","Soil Quality Test","Braye Park",177.18
Sydney,"Air Quality Check","Belmont Wetlands State Park",177.16
Canberra,"Water Quality Test","Jesmond Park",177.1
Perth,"Air Quality Check","Waratah Park",177.04
Hobart,"Soil Quality Test","Waratah Park",177.04
Darwin,"Noise Level Measurement","Redhead Beach",177.01
"Gold Coast","Soil Quality Test","King Edward Park",177
Brisbane,"Water Quality Test","Merewether Beach",177
Canberra,"Air Quality Check","Charlestown Park",176.97
Canberra,"Noise Level Measurement","Richley Reserve",176.94
Perth,"Air Quality Check","Newcastle Beach",176.92
Darwin,"Noise Level Measurement","King Edward Park",176.87
Melbourne,"Noise Level Measurement","Nobbys Beach",176.81
Newcastle,"Noise Level Measurement","Waratah Park",176.75
"Gold Coast","Noise Level Measurement","Awaba State Forest",176.74
Darwin,"Noise Level Measurement","King Edward Park",176.73
Canberra,"Soil Quality Test","Heaton State Forest",176.69
Darwin,"Soil Quality Test","Belmont Wetlands State Park",176.69
"Gold Coast","Noise Level Measurement","Belmont Wetlands State Park",176.61
Newcastle,"Water Quality Test","Charlestown Park",176.6
Hobart,"Air Quality Check","Croudace Bay Park",176.6
Darwin,"Water Quality Test","Mount Sugarloaf",176.59
Adelaide,"Noise Level Measurement","Redhead Beach",176.55
Melbourne,"Noise Level Measurement","Charlestown Park",176.45
Adelaide,"Soil Quality Test","Hunter Wetlands Centre",176.33
Newcastle,"Soil Quality Test","Newcastle Beach",176.32
Melbourne,"Water Quality Test","Richley Reserve",176.31
"Gold Coast","Noise Level Measurement","Toronto Foreshore",176.25
Darwin,"Soil Quality Test","Toronto Foreshore",176.22
Hobart,"Water Quality Test","Warners Bay Foreshore",176.22
Sydney,"Noise Level Measurement","King Edward Park",176.12
Melbourne,"Water Quality Test","Blackbutt Nature Reserve",176.11
Sydney,"Water Quality Test","Braye Park",175.92
Darwin,"Air Quality Check","Charlestown Park",175.9
Perth,"Air Quality Check","Watagan Mountains",175.88
Perth,"Soil Quality Test","Charlestown Park",175.85
Brisbane,"Soil Quality Test","King Edward Park",175.85
Darwin,"Noise Level Measurement","Toronto Foreshore",175.82
Brisbane,"Noise Level Measurement","Merewether Beach",175.81
Adelaide,"Soil Quality Test","Lambton Park",175.73
Brisbane,"Noise Level Measurement","King Edward Park",175.72
Brisbane,"Air Quality Check","Belmont Wetlands State Park",175.7
Sydney,"Water Quality Test","Hunter Wetlands Centre",175.69
Darwin,"Soil Quality Test","Toronto Foreshore",175.66
Newcastle,"Water Quality Test","Newcastle Beach",175.66
Hobart,"Noise Level Measurement","Blackbutt Nature Reserve",175.62
Adelaide,"Soil Quality Test","King Edward Park",175.51
Hobart,"Noise Level Measurement","Heaton State Forest",175.5
"Gold Coast","Soil Quality Test","Awaba State Forest",175.41
Brisbane,"Noise Level Measurement","Mount Sugarloaf",175.35
Perth,"Air Quality Check","Waratah Park",175.34
"Gold Coast","Water Quality Test","Lambton Park",175.34
Hobart,"Water Quality Test","Blackbutt Nature Reserve",175.31
Brisbane,"Soil Quality Test","Hunter Wetlands Centre",175.31
Hobart,"Noise Level Measurement","Heaton State Forest",175.3
Melbourne,"Air Quality Check","Waratah Park",175.28
Canberra,"Air Quality Check","Awaba State Forest",175.26
Sydney,"Air Quality Check","Redhead Beach",175.24
Sydney,"Air Quality Check","Merewether Beach",175.11
Brisbane,"Noise Level Measurement","Speers Point Park",175.02
Brisbane,"Air Quality Check","Toronto Foreshore",174.98
Newcastle,"Water Quality Test","Newcastle Beach",174.96
Adelaide,"Noise Level Measurement","King Edward Park",174.96
Adelaide,"Noise Level Measurement","Awaba State Forest",174.93
Darwin,"Noise Level Measurement","Merewether Beach",174.91
Brisbane,"Soil Quality Test","Belmont Wetlands State Park",174.9
Newcastle,"Air Quality Check","Jesmond Park",174.89
Brisbane,"Water Quality Test","Awaba State Forest",174.85
Perth,"Air Quality Check","Charlestown Park",174.84
Brisbane,"Air Quality Check","Braye Park",174.83
"Gold Coast","Soil Quality Test","Redhead Beach",174.79
Newcastle,"Air Quality Check","Charlestown Park",174.72
Melbourne,"Water Quality Test","Charlestown Park",174.69
Darwin,"Noise Level Measurement","Mount Sugarloaf",174.68
Hobart,"Soil Quality Test","Charlestown Park",174.67
Adelaide,"Air Quality Check","King Edward Park",174.66
Newcastle,"Soil Quality Test","Glenrock State Conservation Area",174.63
Perth,"Soil Quality Test","Watagan Mountains",174.61
Perth,"Water Quality Test","Jesmond Park",174.52
Adelaide,"Noise Level Measurement","Mount Sugarloaf",174.4
Canberra,"Noise Level Measurement","Jesmond Park",174.39
Adelaide,"Soil Quality Test","Braye Park",174.35
Hobart,"Air Quality Check","Watagan Mountains",174.33
Canberra,"Water Quality Test","Richley Reserve",174.27
Hobart,"Air Quality Check","Waratah Park",174.26
Canberra,"Soil Quality Test","Nobbys Beach",174.22
Darwin,"Water Quality Test","Belmont Wetlands State Park",174.21
Perth,"Air Quality Check","Waratah Park",174.17
"Gold Coast","Noise Level Measurement","Lambton Park",174.14
Newcastle,"Water Quality Test","Jesmond Park",174.11
Perth,"Air Quality Check","Waratah Park",174.04
"Gold Coast","Air Quality Check","Speers Point Park",174.04
Darwin,"Soil Quality Test","Lambton Park",173.93
"Gold Coast","Air Quality Check","Awaba State Forest",173.92
Adelaide,"Water Quality Test","Hunter Wetlands Centre",173.91
Hobart,"Water Quality Test","Richley Reserve",173.88
Melbourne,"Air Quality Check","Warners Bay Foreshore",173.8
Newcastle,"Noise Level Measurement","Watagan Mountains",173.77
Darwin,"Soil Quality Test","Awaba State Forest",173.67
Darwin,"Water Quality Test","King Edward Park",173.61
Melbourne,"Water Quality Test","Watagan Mountains",173.6
Perth,"Soil Quality Test","Charlestown Park",173.56
Newcastle,"Soil Quality Test","Richley Reserve",173.56
"Gold Coast","Soil Quality Test","Mount Sugarloaf",173.52
Newcastle,"Water Quality Test","Glenrock State Conservation Area",173.45
Sydney,"Water Quality Test","Lambton Park",173.4
"Gold Coast","Soil Quality Test","Mount Sugarloaf",173.38
Newcastle,"Water Quality Test","Charlestown Park",173.33
Darwin,"Water Quality Test","Mount Sugarloaf",173.29
"Gold Coast","Soil Quality Test","Mount Sugarloaf",173.29
Canberra,"Water Quality Test","Nobbys Beach",173.23
Adelaide,"Water Quality Test","Speers Point Park",173.18
Darwin,"Soil Quality Test","Mount Sugarloaf",173.17
Perth,"Soil Quality Test","Croudace Bay Park",173.17
Hobart,"Air Quality Check","Charlestown Park",173.17
Newcastle,"Noise Level Measurement","Glenrock State Conservation Area",173.16
Hobart,"Water Quality Test","Glenrock State Conservation Area",173.14
Sydney,"Noise Level Measurement","Mount Sugarloaf",173.1
Newcastle,"Soil Quality Test","Richley Reserve",173.02
Newcastle,"Air Quality Check","Glenrock State Conservation Area",173.01
Canberra,"Water Quality Test","Warners Bay Foreshore",173.01
Brisbane,"Water Quality Test","Mount Sugarloaf",172.98
Newcastle,"Soil Quality Test","Croudace Bay Park",172.86
Perth,"Noise Level Measurement","Croudace Bay Park",172.85
Sydney,"Soil Quality Test","Mount Sugarloaf",172.85
Adelaide,"Air Quality Check","King Edward Park",172.81
Darwin,"Water Quality Test","Mount Sugarloaf",172.8
"Gold Coast","Air Quality Check","Croudace Bay Park",172.75
Sydney,"Noise Level Measurement","Belmont Wetlands State Park",172.71
Hobart,"Soil Quality Test","Heaton State Forest",172.71
"Gold Coast","Soil Quality Test","Speers Point Park",172.68
"Gold Coast","Noise Level Measurement","Toronto Foreshore",172.62
Melbourne,"Soil Quality Test","Charlestown Park",172.61
Hobart,"Noise Level Measurement","Charlestown Park",172.59
Melbourne,"Water Quality Test","Blackbutt Nature Reserve",172.56
Brisbane,"Noise Level Measurement","Braye Park",172.56
Sydney,"Water Quality Test","Belmont Wetlands State Park",172.52
Adelaide,"Water Quality Test","Braye Park",172.52
Hobart,"Soil Quality Test","Newcastle Beach",172.51
Sydney,"Soil Quality Test","Lambton Park",172.51
Darwin,"Soil Quality Test","Belmont Wetlands State Park",172.49
Newcastle,"Air Quality Check","King Edward Park",172.47
Darwin,"Noise Level Measurement","Mount Sugarloaf",172.45
"Gold Coast","Noise Level Measurement","King Edward Park",172.45
Canberra,"Noise Level Measurement","Waratah Park",172.44
Melbourne,"Water Quality Test","Heaton State Forest",172.42
"Gold Coast","Air Quality Check","King Edward Park",172.37
Adelaide,"Air Quality Check","King Edward Park",172.33
Sydney,"Noise Level Measurement","Toronto Foreshore",172.3
Brisbane,"Noise Level Measurement","Braye Park",172.29
Canberra,"Air Quality Check","Newcastle Beach",172.27
"Gold Coast","Air Quality Check","Redhead Beach",172.26
Melbourne,"Water Quality Test","Braye Park",172.23
Hobart,"Noise Level Measurement","Belmont Wetlands State Park",172.19
Sydney,"Soil Quality Test","Toronto Foreshore",172.16
Brisbane,"Soil Quality Test","Braye Park",172.16
Hobart,"Air Quality Check","Waratah Park",172.09
Sydney,"Soil Quality Test","Braye Park",172.02
Brisbane,"Soil Quality Test","Toronto Foreshore",172.02
Darwin,"Noise Level Measurement","Mount Sugarloaf",172
"Gold Coast","Soil Quality Test","Toronto Foreshore",171.98
Brisbane,"Water Quality Test","Speers Point Park",171.94
Sydney,"Noise Level Measurement","Redhead Beach",171.89
Perth,"Noise Level Measurement","Blackbutt Nature Reserve",171.83
Melbourne,"Air Quality Check","Croudace Bay Park",171.81
Sydney,"Air Quality Check","King Edward Park",171.78
Canberra,"Water Quality Test","Charlestown Park",171.78
Brisbane,"Noise Level Measurement","Awaba State Forest",171.77
Melbourne,"Noise Level Measurement","Redhead Beach",171.76
Perth,"Air Quality Check","Nobbys Beach",171.67
Hobart,"Noise Level Measurement","Heaton State Forest",171.64
"Gold Coast","Air Quality Check","King Edward Park",171.63
Sydney,"Water Quality Test","Speers Point Park",171.57
Sydney,"Soil Quality Test","Merewether Beach",171.55
"Gold Coast","Water Quality Test","Hunter Wetlands Centre",171.5
Sydney,"Air Quality Check","Braye Park",171.49
Melbourne,"Soil Quality Test","Speers Point Park",171.48
Adelaide,"Noise Level Measurement","Toronto Foreshore",171.47
Perth,"Noise Level Measurement","Richley Reserve",171.46
Melbourne,"Water Quality Test","Richley Reserve",171.46
Brisbane,"Soil Quality Test","Toronto Foreshore",171.41
Adelaide,"Water Quality Test","Mount Sugarloaf",171.38
Melbourne,"Water Quality Test","Newcastle Beach",171.38
Melbourne,"Water Quality Test","Waratah Park",171.36
Hobart,"Water Quality Test","Newcastle Beach",171.28
Hobart,"Water Quality Test","Newcastle Beach",171.27
Melbourne,"Water Quality Test","Warners Bay Foreshore",171.24
Brisbane,"Air Quality Check","Hunter Wetlands Centre",171.24
Brisbane,"Soil Quality Test","Redhead Beach",171.21
Sydney,"Air Quality Check","Braye Park",171.16
Sydney,"Noise Level Measurement","King Edward Park",171.15
Melbourne,"Air Quality Check","Waratah Park",171.14
Melbourne,"Water Quality Test","Glenrock State Conservation Area",171.11
Perth,"Noise Level Measurement","Newcastle Beach",171.06
Adelaide,"Water Quality Test","Belmont Wetlands State Park",171.06
Sydney,"Soil Quality Test","King Edward Park",171
Melbourne,"Noise Level Measurement","Heaton State Forest",170.96
Darwin,"Air Quality Check","King Edward Park",170.93
"Gold Coast","Air Quality Check","King Edward Park",170.92
"Gold Coast","Noise Level Measurement","Awaba State Forest",170.9
Brisbane,"Noise Level Measurement","King Edward Park",170.89
Perth,"Noise Level Measurement","Watagan Mountains",170.88
Darwin,"Noise Level Measurement","Speers Point Park",170.88
Canberra,"Soil Quality Test","Blackbutt Nature Reserve",170.88
Newcastle,"Noise Level Measurement","Jesmond Park",170.83
Melbourne,"Water Quality Test","Nobbys Beach",170.81
Darwin,"Water Quality Test","Toronto Foreshore",170.81
Sydney,"Water Quality Test","Hunter Wetlands Centre",170.79
Darwin,"Water Quality Test","Awaba State Forest",170.66
Hobart,"Soil Quality Test","Jesmond Park",170.65
Brisbane,"Soil Quality Test","Toronto Foreshore",170.65
Melbourne,"Air Quality Check","Glenrock State Conservation Area",170.6
Adelaide,"Soil Quality Test","Awaba State Forest",170.53
Perth,"Noise Level Measurement","Nobbys Beach",170.48
Brisbane,"Noise Level Measurement","Belmont Wetlands State Park",170.45
Perth,"Noise Level Measurement","Nobbys Beach",170.44
